"Time","Unix Time","Entry"
"10/25/17 11:49 AM","1508932140","0"
"10/25/17 11:50 AM","1508932200","3"
"10/25/17 11:51 AM","1508932260","16"
"10/25/17 11:52 AM","1508932320","25"
"10/25/17 11:53 AM","1508932380","41"
"10/25/17 11:54 AM","1508932440","46"
"10/25/17 11:55 AM","1508932500","54"
"10/25/17 11:56 AM","1508932560","56"
"10/25/17 11:57 AM","1508932620","65"
"10/25/17 11:58 AM","1508932680","69"
"10/25/17 11:59 AM","1508932740","72"
"10/25/17 12:00 PM","1508932800","74"
"10/25/17 12:01 PM","1508932860","75"
"10/25/17 12:02 PM","1508932920","84"
"10/25/17 12:03 PM","1508932980","92"
"10/25/17 12:04 PM","1508933040","103"
"10/25/17 12:05 PM","1508933100","111"
"10/25/17 12:06 PM","1508933160","127"
"10/25/17 12:07 PM","1508933220","133"
"10/25/17 12:08 PM","1508933280","136"
"10/25/17 12:09 PM","1508933340","148"
"10/25/17 12:10 PM","1508933400","154"
"10/25/17 12:11 PM","1508933460","166"
"10/25/17 12:12 PM","1508933520","174"
"10/25/17 12:13 PM","1508933580","179"
"10/25/17 12:14 PM","1508933640","185"
"10/25/17 12:15 PM","1508933700","189"
"10/25/17 12:16 PM","1508933760","192"
"10/25/17 12:17 PM","1508933820","199"
"10/25/17 12:18 PM","1508933880","200"
"10/25/17 12:19 PM","1508933940","209"
"10/25/17 12:20 PM","1508934000","219"
"10/25/17 12:21 PM","1508934060","233"
"10/25/17 12:22 PM","1508934120","247"
"10/25/17 12:23 PM","1508934180","262"
"10/25/17 12:24 PM","1508934240","266"
"10/25/17 12:25 PM","1508934300","269"
"10/25/17 12:26 PM","1508934360","270"
"10/25/17 12:27 PM","1508934420","282"
"10/25/17 12:28 PM","1508934480","300"
"10/25/17 12:29 PM","1508934540","315"
"10/25/17 12:30 PM","1508934600","331"
"10/25/17 12:31 PM","1508934660","350"
"10/25/17 12:32 PM","1508934720","355"
"10/25/17 12:33 PM","1508934780","363"
"10/25/17 12:34 PM","1508934840","368"
"10/25/17 12:35 PM","1508934900","378"
"10/25/17 12:36 PM","1508934960","389"
"10/25/17 12:37 PM","1508935020","404"
"10/25/17 12:38 PM","1508935080","415"
"10/25/17 12:39 PM","1508935140","429"
"10/25/17 12:40 PM","1508935200","442"
"10/25/17 12:41 PM","1508935260","452"
"10/25/17 12:42 PM","1508935320","463"
"10/25/17 12:43 PM","1508935380","471"
"10/25/17 12:44 PM","1508935440","491"
"10/25/17 12:45 PM","1508935500","502"
"10/25/17 12:46 PM","1508935560","518"
"10/25/17 12:47 PM","1508935620","526"
"10/25/17 12:48 PM","1508935680","534"
"10/25/17 12:49 PM","1508935740","538"
"10/25/17 12:50 PM","1508935800","545"
"10/25/17 12:51 PM","1508935860","553"
"10/25/17 12:52 PM","1508935920","562"
"10/25/17 12:53 PM","1508935980","568"
"10/25/17 12:54 PM","1508936040","574"
"10/25/17 12:55 PM","1508936100","584"
"10/25/17 12:56 PM","1508936160","598"
"10/25/17 12:57 PM","1508936220","607"
"10/25/17 12:58 PM","1508936280","618"
"10/25/17 12:59 PM","1508936340","625"
"10/25/17 1:00 PM","1508936400","642"
"10/25/17 1:01 PM","1508936460","653"
"10/25/17 1:02 PM","1508936520","666"
"10/25/17 1:03 PM","1508936580","676"
"10/25/17 1:04 PM","1508936640","689"
"10/25/17 1:05 PM","1508936700","703"
"10/25/17 1:06 PM","1508936760","718"
"10/25/17 1:07 PM","1508936820","731"
"10/25/17 1:08 PM","1508936880","744"
"10/25/17 1:09 PM","1508936940","755"
"10/25/17 1:10 PM","1508937000","764"
"10/25/17 1:11 PM","1508937060","776"
"10/25/17 1:12 PM","1508937120","787"
"10/25/17 1:13 PM","1508937180","803"
"10/25/17 1:14 PM","1508937240","812"
"10/25/17 1:15 PM","1508937300","824"
"10/25/17 1:16 PM","1508937360","834"
"10/25/17 1:17 PM","1508937420","847"
"10/25/17 1:18 PM","1508937480","852"
"10/25/17 1:19 PM","1508937540","862"
"10/25/17 1:20 PM","1508937600","874"
"10/25/17 1:21 PM","1508937660","881"
"10/25/17 1:22 PM","1508937720","888"
"10/25/17 1:23 PM","1508937780","895"
"10/25/17 1:24 PM","1508937840","902"
"10/25/17 1:25 PM","1508937900","911"
"10/25/17 1:26 PM","1508937960","916"
"10/25/17 1:27 PM","1508938020","918"
"10/25/17 1:28 PM","1508938080","920"
"10/25/17 1:29 PM","1508938140","930"
"10/25/17 1:30 PM","1508938200","935"
"10/25/17 1:31 PM","1508938260","946"
"10/25/17 1:32 PM","1508938320","950"
"10/25/17 1:33 PM","1508938380","955"
"10/25/17 1:34 PM","1508938440","964"
"10/25/17 1:35 PM","1508938500","975"
"10/25/17 1:36 PM","1508938560","986"
"10/25/17 1:37 PM","1508938620","994"
"10/25/17 1:38 PM","1508938680","1006"
"10/25/17 1:39 PM","1508938740","1023"
"10/25/17 1:40 PM","1508938800","1033"
"10/25/17 1:41 PM","1508938860","1042"
"10/25/17 1:42 PM","1508938920","1055"
"10/25/17 1:43 PM","1508938980","1071"
"10/25/17 1:44 PM","1508939040","1079"
"10/25/17 1:45 PM","1508939100","1090"
"10/25/17 1:46 PM","1508939160","1101"
"10/25/17 1:47 PM","1508939220","1117"
"10/25/17 1:48 PM","1508939280","1123"
"10/25/17 1:49 PM","1508939340","1135"
"10/25/17 1:50 PM","1508939400","1145"
"10/25/17 1:51 PM","1508939460","1152"
"10/25/17 1:52 PM","1508939520","1169"
"10/25/17 1:53 PM","1508939580","1184"
"10/25/17 1:54 PM","1508939640","1195"
"10/25/17 1:55 PM","1508939700","1200"
"10/25/17 1:56 PM","1508939760","1202"
"10/25/17 1:57 PM","1508939820","1209"
"10/25/17 1:58 PM","1508939880","1222"
"10/25/17 1:59 PM","1508939940","1230"
"10/25/17 2:00 PM","1508940000","1236"
"10/25/17 2:01 PM","1508940060","1245"
"10/25/17 2:02 PM","1508940120","1259"
"10/25/17 2:03 PM","1508940180","1270"
"10/25/17 2:04 PM","1508940240","1286"
"10/25/17 2:05 PM","1508940300","1300"
"10/25/17 2:06 PM","1508940360","1314"
"10/25/17 2:07 PM","1508940420","1321"
"10/25/17 2:08 PM","1508940480","1333"
"10/25/17 2:09 PM","1508940540","1342"
"10/25/17 2:10 PM","1508940600","1357"
"10/25/17 2:11 PM","1508940660","1369"
"10/25/17 2:12 PM","1508940720","1381"
"10/25/17 2:13 PM","1508940780","1388"
"10/25/17 2:14 PM","1508940840","1392"
"10/25/17 2:15 PM","1508940900","1400"
"10/25/17 2:16 PM","1508940960","1405"
"10/25/17 2:17 PM","1508941020","1419"
"10/25/17 2:18 PM","1508941080","1425"
"10/25/17 2:19 PM","1508941140","1433"
"10/25/17 2:20 PM","1508941200","1436"
"10/25/17 2:21 PM","1508941260","1446"
"10/25/17 2:22 PM","1508941320","1461"
"10/25/17 2:23 PM","1508941380","1477"
"10/25/17 2:24 PM","1508941440","1484"
"10/25/17 2:25 PM","1508941500","1501"
"10/25/17 2:26 PM","1508941560","1509"
"10/25/17 2:27 PM","1508941620","1518"
"10/25/17 2:28 PM","1508941680","1536"
"10/25/17 2:29 PM","1508941740","1547"
"10/25/17 2:30 PM","1508941800","1562"
"10/25/17 2:31 PM","1508941860","1579"
"10/25/17 2:32 PM","1508941920","1588"
"10/25/17 2:33 PM","1508941980","1594"
"10/25/17 2:34 PM","1508942040","1594"
"10/25/17 2:35 PM","1508942100","1596"
"10/25/17 2:36 PM","1508942160","1603"
"10/25/17 2:37 PM","1508942220","1608"
"10/25/17 2:38 PM","1508942280","1614"
"10/25/17 2:39 PM","1508942340","1623"
"10/25/17 2:40 PM","1508942400","1640"
"10/25/17 2:41 PM","1508942460","1646"
"10/25/17 2:42 PM","1508942520","1662"
"10/25/17 2:43 PM","1508942580","1680"
"10/25/17 2:44 PM","1508942640","1691"
"10/25/17 2:45 PM","1508942700","1703"
"10/25/17 2:46 PM","1508942760","1717"
"10/25/17 2:47 PM","1508942820","1729"
"10/25/17 2:48 PM","1508942880","1735"
"10/25/17 2:49 PM","1508942940","1737"
"10/25/17 2:50 PM","1508943000","1742"
"10/25/17 2:51 PM","1508943060","1748"
"10/25/17 2:52 PM","1508943120","1752"
"10/25/17 2:53 PM","1508943180","1760"
"10/25/17 2:54 PM","1508943240","1772"
"10/25/17 2:55 PM","1508943300","1783"
"10/25/17 2:56 PM","1508943360","1798"
"10/25/17 2:57 PM","1508943420","1812"
"10/25/17 2:58 PM","1508943480","1823"
"10/25/17 2:59 PM","1508943540","1833"
"10/25/17 3:00 PM","1508943600","1849"
"10/25/17 3:01 PM","1508943660","1864"
"10/25/17 3:02 PM","1508943720","1868"
"10/25/17 3:03 PM","1508943780","1872"
"10/25/17 3:04 PM","1508943840","1885"
"10/25/17 3:05 PM","1508943900","1890"
"10/25/17 3:06 PM","1508943960","1910"
"10/25/17 3:07 PM","1508944020","1920"
"10/25/17 3:08 PM","1508944080","1928"
"10/25/17 3:09 PM","1508944140","1943"
"10/25/17 3:10 PM","1508944200","1957"
"10/25/17 3:11 PM","1508944260","1973"
"10/25/17 3:12 PM","1508944320","1987"
"10/25/17 3:13 PM","1508944380","2004"
"10/25/17 3:14 PM","1508944440","2011"
"10/25/17 3:15 PM","1508944500","2024"
"10/25/17 3:16 PM","1508944560","2038"
"10/25/17 3:17 PM","1508944620","2051"
"10/25/17 3:18 PM","1508944680","2067"
"10/25/17 3:19 PM","1508944740","2082"
"10/25/17 3:20 PM","1508944800","2101"
"10/25/17 3:21 PM","1508944860","2112"
"10/25/17 3:22 PM","1508944920","2126"
"10/25/17 3:23 PM","1508944980","2140"
"10/25/17 3:24 PM","1508945040","2153"
"10/25/17 3:25 PM","1508945100","2160"
"10/25/17 3:26 PM","1508945160","2169"
"10/25/17 3:27 PM","1508945220","2179"
"10/25/17 3:28 PM","1508945280","2195"
"10/25/17 3:29 PM","1508945340","2213"
"10/25/17 3:30 PM","1508945400","2232"
"10/25/17 3:31 PM","1508945460","2254"
"10/25/17 3:32 PM","1508945520","2265"
"10/25/17 3:33 PM","1508945580","2276"
"10/25/17 3:34 PM","1508945640","2292"
"10/25/17 3:35 PM","1508945700","2306"
"10/25/17 3:36 PM","1508945760","2318"
"10/25/17 3:37 PM","1508945820","2332"
"10/25/17 3:38 PM","1508945880","2343"
"10/25/17 3:39 PM","1508945940","2361"
"10/25/17 3:40 PM","1508946000","2370"
"10/25/17 3:41 PM","1508946060","2385"
"10/25/17 3:42 PM","1508946120","2401"
"10/25/17 3:43 PM","1508946180","2417"
"10/25/17 3:44 PM","1508946240","2432"
"10/25/17 3:45 PM","1508946300","2450"
"10/25/17 3:46 PM","1508946360","2461"
"10/25/17 3:47 PM","1508946420","2478"
"10/25/17 3:48 PM","1508946480","2492"
"10/25/17 3:49 PM","1508946540","2505"
"10/25/17 3:50 PM","1508946600","2523"
"10/25/17 3:51 PM","1508946660","2535"
"10/25/17 3:52 PM","1508946720","2551"
"10/25/17 3:53 PM","1508946780","2568"
"10/25/17 3:54 PM","1508946840","2583"
"10/25/17 3:55 PM","1508946900","2597"
"10/25/17 3:56 PM","1508946960","2615"
"10/25/17 3:57 PM","1508947020","2626"
"10/25/17 3:58 PM","1508947080","2636"
"10/25/17 3:59 PM","1508947140","2649"
"10/25/17 4:00 PM","1508947200","2665"
"10/25/17 4:01 PM","1508947260","2681"
"10/25/17 4:02 PM","1508947320","2700"
"10/25/17 4:03 PM","1508947380","2716"
"10/25/17 4:04 PM","1508947440","2730"
"10/25/17 4:05 PM","1508947500","2743"
"10/25/17 4:06 PM","1508947560","2760"
"10/25/17 4:07 PM","1508947620","2772"
"10/25/17 4:08 PM","1508947680","2782"
"10/25/17 4:09 PM","1508947740","2792"
"10/25/17 4:10 PM","1508947800","2809"
"10/25/17 4:11 PM","1508947860","2822"
"10/25/17 4:12 PM","1508947920","2831"
"10/25/17 4:13 PM","1508947980","2834"
"10/25/17 4:14 PM","1508948040","2839"
"10/25/17 4:15 PM","1508948100","2850"
"10/25/17 4:16 PM","1508948160","2859"
"10/25/17 4:17 PM","1508948220","2872"
"10/25/17 4:18 PM","1508948280","2875"
"10/25/17 4:19 PM","1508948340","2884"
"10/25/17 4:20 PM","1508948400","2895"
"10/25/17 4:21 PM","1508948460","2907"
"10/25/17 4:22 PM","1508948520","2925"
"10/25/17 4:23 PM","1508948580","2939"
"10/25/17 4:24 PM","1508948640","2951"
"10/25/17 4:25 PM","1508948700","2969"
"10/25/17 4:26 PM","1508948760","2986"
"10/25/17 4:27 PM","1508948820","2992"
"10/25/17 4:28 PM","1508948880","3003"
"10/25/17 4:29 PM","1508948940","3009"
"10/25/17 4:30 PM","1508949000","3011"
"10/25/17 4:31 PM","1508949060","3021"
"10/25/17 4:32 PM","1508949120","3038"
"10/25/17 4:33 PM","1508949180","3047"
"10/25/17 4:34 PM","1508949240","3057"
"10/25/17 4:35 PM","1508949300","3066"
"10/25/17 4:36 PM","1508949360","3077"
"10/25/17 4:37 PM","1508949420","3083"
"10/25/17 4:38 PM","1508949480","3086"
"10/25/17 4:39 PM","1508949540","3096"
"10/25/17 4:40 PM","1508949600","3111"
"10/25/17 4:41 PM","1508949660","3120"
"10/25/17 4:42 PM","1508949720","3128"
"10/25/17 4:43 PM","1508949780","3138"
"10/25/17 4:44 PM","1508949840","3144"
"10/25/17 4:45 PM","1508949900","3152"
"10/25/17 4:46 PM","1508949960","3166"
"10/25/17 4:47 PM","1508950020","3173"
"10/25/17 4:48 PM","1508950080","3178"
"10/25/17 4:49 PM","1508950140","3184"
"10/25/17 4:50 PM","1508950200","3194"
"10/25/17 4:51 PM","1508950260","3203"
"10/25/17 4:52 PM","1508950320","3210"
"10/25/17 4:53 PM","1508950380","3219"
"10/25/17 4:54 PM","1508950440","3227"
"10/25/17 4:55 PM","1508950500","3234"
"10/25/17 4:56 PM","1508950560","3240"
"10/25/17 4:57 PM","1508950620","3244"
"10/25/17 4:58 PM","1508950680","3254"
"10/25/17 4:59 PM","1508950740","3265"
"10/25/17 5:00 PM","1508950800","3277"
"10/25/17 5:01 PM","1508950860","3290"
"10/25/17 5:02 PM","1508950920","3292"
"10/25/17 5:03 PM","1508950980","3307"
"10/25/17 5:04 PM","1508951040","3313"
"10/25/17 5:05 PM","1508951100","3322"
"10/25/17 5:06 PM","1508951160","3329"
"10/25/17 5:07 PM","1508951220","3345"
"10/25/17 5:08 PM","1508951280","3359"
"10/25/17 5:09 PM","1508951340","3367"
"10/25/17 5:10 PM","1508951400","3373"
"10/25/17 5:11 PM","1508951460","3378"
"10/25/17 5:12 PM","1508951520","3383"
"10/25/17 5:13 PM","1508951580","3397"
"10/25/17 5:14 PM","1508951640","3408"
"10/25/17 5:15 PM","1508951700","3414"
"10/25/17 5:16 PM","1508951760","3425"
"10/25/17 5:17 PM","1508951820","3432"
"10/25/17 5:18 PM","1508951880","3442"
"10/25/17 5:19 PM","1508951940","3449"
"10/25/17 5:20 PM","1508952000","3461"
"10/25/17 5:21 PM","1508952060","3471"
"10/25/17 5:22 PM","1508952120","3478"
"10/25/17 5:23 PM","1508952180","3488"
"10/25/17 5:24 PM","1508952240","3497"
"10/25/17 5:25 PM","1508952300","3500"
"10/25/17 5:26 PM","1508952360","3509"
"10/25/17 5:27 PM","1508952420","3519"
"10/25/17 5:28 PM","1508952480","3525"
"10/25/17 5:29 PM","1508952540","3529"
"10/25/17 5:30 PM","1508952600","3539"
"10/25/17 5:31 PM","1508952660","3546"
"10/25/17 5:32 PM","1508952720","3558"
"10/25/17 5:33 PM","1508952780","3573"
"10/25/17 5:34 PM","1508952840","3573"
"10/25/17 5:35 PM","1508952900","3583"
"10/25/17 5:36 PM","1508952960","3591"
"10/25/17 5:37 PM","1508953020","3603"
"10/25/17 5:38 PM","1508953080","3608"
"10/25/17 5:39 PM","1508953140","3619"
"10/25/17 5:40 PM","1508953200","3633"
"10/25/17 5:41 PM","1508953260","3641"
"10/25/17 5:42 PM","1508953320","3651"
"10/25/17 5:43 PM","1508953380","3662"
"10/25/17 5:44 PM","1508953440","3673"
"10/25/17 5:45 PM","1508953500","3680"
"10/25/17 5:46 PM","1508953560","3695"
"10/25/17 5:47 PM","1508953620","3701"
"10/25/17 5:48 PM","1508953680","3707"
"10/25/17 5:49 PM","1508953740","3720"
"10/25/17 5:50 PM","1508953800","3733"
"10/25/17 5:51 PM","1508953860","3746"
"10/25/17 5:52 PM","1508953920","3759"
"10/25/17 5:53 PM","1508953980","3765"
"10/25/17 5:54 PM","1508954040","3774"
"10/25/17 5:55 PM","1508954100","3785"
"10/25/17 5:56 PM","1508954160","3800"
"10/25/17 5:57 PM","1508954220","3819"
"10/25/17 5:58 PM","1508954280","3831"
"10/25/17 5:59 PM","1508954340","3847"
"10/25/17 6:00 PM","1508954400","3856"
"10/25/17 6:01 PM","1508954460","3863"
"10/25/17 6:02 PM","1508954520","3874"
"10/25/17 6:03 PM","1508954580","3888"
"10/25/17 6:04 PM","1508954640","3899"
"10/25/17 6:05 PM","1508954700","3909"
"10/25/17 6:06 PM","1508954760","3922"
"10/25/17 6:07 PM","1508954820","3932"
"10/25/17 6:08 PM","1508954880","3950"
"10/25/17 6:09 PM","1508954940","3964"
"10/25/17 6:10 PM","1508955000","3978"
"10/25/17 6:11 PM","1508955060","3984"
"10/25/17 6:12 PM","1508955120","3993"
"10/25/17 6:13 PM","1508955180","4000"
"10/25/17 6:14 PM","1508955240","4006"
"10/25/17 6:15 PM","1508955300","4019"
"10/25/17 6:16 PM","1508955360","4032"
"10/25/17 6:17 PM","1508955420","4041"
"10/25/17 6:18 PM","1508955480","4055"
"10/25/17 6:20 PM","1508955600","4060"
"10/25/17 6:21 PM","1508955660","4061"
"10/25/17 6:22 PM","1508955720","4077"
"10/25/17 6:23 PM","1508955780","4091"
"10/25/17 6:24 PM","1508955840","4104"
"10/25/17 6:25 PM","1508955900","4109"
"10/25/17 6:26 PM","1508955960","4119"
"10/25/17 6:27 PM","1508956020","4134"
"10/25/17 6:28 PM","1508956080","4151"
"10/25/17 6:29 PM","1508956140","4164"
"10/25/17 6:30 PM","1508956200","4180"
"10/25/17 6:31 PM","1508956260","4196"
"10/25/17 6:32 PM","1508956320","4213"
"10/25/17 6:33 PM","1508956380","4221"
"10/25/17 6:34 PM","1508956440","4226"
"10/25/17 6:35 PM","1508956500","4229"
"10/25/17 6:36 PM","1508956560","4246"
"10/25/17 6:37 PM","1508956620","4260"
"10/25/17 6:38 PM","1508956680","4276"
"10/25/17 6:39 PM","1508956740","4301"
"10/25/17 6:40 PM","1508956800","4323"
"10/25/17 6:41 PM","1508956860","4339"
"10/25/17 6:42 PM","1508956920","4352"
"10/25/17 6:43 PM","1508956980","4365"
"10/25/17 6:44 PM","1508957040","4366"
"10/25/17 6:45 PM","1508957100","4376"
"10/25/17 6:46 PM","1508957160","4381"
"10/25/17 6:47 PM","1508957220","4390"
"10/25/17 6:48 PM","1508957280","4407"
"10/25/17 6:49 PM","1508957340","4418"
"10/25/17 6:50 PM","1508957400","4431"
"10/25/17 6:51 PM","1508957460","4444"
"10/25/17 6:52 PM","1508957520","4453"
"10/25/17 6:53 PM","1508957580","4461"
"10/25/17 6:54 PM","1508957640","4473"
"10/25/17 6:55 PM","1508957700","4483"
"10/25/17 6:56 PM","1508957760","4495"
"10/25/17 6:57 PM","1508957820","4507"
"10/25/17 6:58 PM","1508957880","4522"
"10/25/17 6:59 PM","1508957940","4535"
"10/25/17 7:00 PM","1508958000","4547"
"10/25/17 7:01 PM","1508958060","4565"
"10/25/17 7:02 PM","1508958120","4581"
"10/25/17 7:03 PM","1508958180","4598"
"10/25/17 7:04 PM","1508958240","4604"
"10/25/17 7:05 PM","1508958300","4615"
"10/25/17 7:06 PM","1508958360","4618"
"10/25/17 7:07 PM","1508958420","4624"
"10/25/17 7:08 PM","1508958480","4632"
"10/25/17 7:09 PM","1508958540","4641"
"10/25/17 7:10 PM","1508958600","4649"
"10/25/17 7:11 PM","1508958660","4662"
"10/25/17 7:12 PM","1508958720","4666"
"10/25/17 7:13 PM","1508958780","4673"
"10/25/17 7:14 PM","1508958840","4678"
"10/25/17 7:15 PM","1508958900","4699"
"10/25/17 7:16 PM","1508958960","4711"
"10/25/17 7:17 PM","1508959020","4720"
"10/25/17 7:18 PM","1508959080","4730"
"10/25/17 7:19 PM","1508959140","4743"
"10/25/17 7:20 PM","1508959200","4753"
"10/25/17 7:21 PM","1508959260","4759"
"10/25/17 7:22 PM","1508959320","4768"
"10/25/17 7:23 PM","1508959380","4783"
"10/25/17 7:24 PM","1508959440","4798"
"10/25/17 7:25 PM","1508959500","4809"
"10/25/17 7:26 PM","1508959560","4824"
"10/25/17 7:27 PM","1508959620","4830"
"10/25/17 7:28 PM","1508959680","4841"
"10/25/17 7:29 PM","1508959740","4845"
"10/25/17 7:30 PM","1508959800","4852"
"10/25/17 7:31 PM","1508959860","4862"
"10/25/17 7:32 PM","1508959920","4865"
"10/25/17 7:33 PM","1508959980","4874"
"10/25/17 7:34 PM","1508960040","4889"
"10/25/17 7:35 PM","1508960100","4904"
"10/25/17 7:36 PM","1508960160","4918"
"10/25/17 7:37 PM","1508960220","4928"
"10/25/17 7:38 PM","1508960280","4936"
"10/25/17 7:39 PM","1508960340","4941"
"10/25/17 7:40 PM","1508960400","4949"
"10/25/17 7:41 PM","1508960460","4959"
"10/25/17 7:42 PM","1508960520","4966"
"10/25/17 7:43 PM","1508960580","4972"
"10/25/17 7:44 PM","1508960640","4985"
"10/25/17 7:45 PM","1508960700","4991"
"10/25/17 7:46 PM","1508960760","4993"
"10/25/17 7:47 PM","1508960820","5009"
"10/25/17 7:48 PM","1508960880","5014"
"10/25/17 7:49 PM","1508960940","5026"
"10/25/17 7:50 PM","1508961000","5036"
"10/25/17 7:51 PM","1508961060","5049"
"10/25/17 7:52 PM","1508961120","5062"
"10/25/17 7:53 PM","1508961180","5078"
"10/25/17 7:54 PM","1508961240","5091"
"10/25/17 7:55 PM","1508961300","5096"
"10/25/17 7:56 PM","1508961360","5099"
"10/25/17 7:57 PM","1508961420","5111"
